BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION,,,,,,,
SNDX;RGBITR;2020-07-13;MOEX Government Bond Index;MOEX Government Bond Index;612,04;611,82;612,54;611,78;15955990066;1814;5,48;2;8566957192570;RUB;1,000000;3,
SNDX;RGBITR;2020-07-10;MOEX Government Bond Index;MOEX Government Bond Index;611,13;612,01;612,02;611,13;7627251158,32;1816;5,5;2;8554242225500;RUB;1,000000;3
SNDX;RGBITR;2020-07-09;MOEX Government Bond Index;MOEX Government Bond Index;611,81;609,9;611,83;609,9;28729319149,5;1818;5,47;2;8563701421940;RUB;1,000000;3
SNDX;RGBITR;2020-07-08;MOEX Government Bond Index;MOEX Government Bond Index;609,76;607,69;609,76;607,69;23130179089,3;1815;5,54;2;8535054765510;RUB;1,000000;3
SNDX;RGBITR;2020-07-07;MOEX Government Bond Index;MOEX Government Bond Index;607,61;605,17;607,61;604,65;27442679926,7;1812;5,61;2;8505001664570;RUB;1,000000;3
SNDX;RGBITR;2020-07-06;MOEX Government Bond Index;MOEX Government Bond Index;605,23;606;606,74;605,04;22168687643,3;1810;5,69;2;8471619233860;RUB;1,000000;3,
SNDX;RGBITR;2020-07-03;MOEX Government Bond Index;MOEX Government Bond Index;605,83;609,39;609,46;605,83;25335359890;1815;5,66;2;8479956545860;RUB;1,000000;3,
SNDX;RGBITR;2020-07-02;MOEX Government Bond Index;MOEX Government Bond Index;609,16;608,68;609,93;608,68;33749874801,6;1823;5,54;2;8526505189070;RUB;1,000000;3
SNDX;RGBITR;2020-06-30;MOEX Government Bond Index;MOEX Government Bond Index;608,44;612,7;612,91;608,44;61790306589,3;1824;5,56;2;8516492207990;RUB;1,000000;3
SNDX;RGBITR;2020-06-29;MOEX Government Bond Index;MOEX Government Bond Index;612,36;612,81;613,16;612,36;22112102184,5;1832;5,42;2;8571329986390;RUB;1,000000;3
SNDX;RGBITR;2020-06-26;MOEX Government Bond Index;MOEX Government Bond Index;612,49;612,18;612,92;611,34;15255115682;1835;5,41;2;8573111974740;RUB;1,000000;3,
SNDX;RGBITR;2020-06-25;MOEX Government Bond Index;MOEX Government Bond Index;612,04;614,15;614,4;612,04;31120458215,5;1836;5,42;2;8566815812710;RUB;1,000000;3
SNDX;RGBITR;2020-06-23;MOEX Government Bond Index;MOEX Government Bond Index;613,9;614,74;615,4;613,77;11436238193;1842;5,35;2;8592894311720;RUB;1,000000;3,
SNDX;RGBITR;2020-06-22;MOEX Government Bond Index;MOEX Government Bond Index;614,59;616,61;616,61;614,59;11718983675,4;1845;5,33;2;8602526276010;RUB;1,000000;3
SNDX;RGBITR;2020-06-19;MOEX Government Bond Index;MOEX Government Bond Index;616,36;614,55;616,54;614,55;32666580881,7;1851;5,26;2;8627316015640;RUB;1,000000;3
SNDX;RGBITR;2020-06-18;MOEX Government Bond Index;MOEX Government Bond Index;614,71;613,92;614,71;613,82;26537119099,3;1850;5,31;2;8604242202120;RUB;1,000000;3
SNDX;RGBITR;2020-06-17;MOEX Government Bond Index;MOEX Government Bond Index;613,87;612,57;613,88;611,71;22901168513,8;1851;5,34;2;8604730909840;RUB;1,000000;3
SNDX;RGBITR;2020-06-16;MOEX Government Bond Index;MOEX Government Bond Index;612,63;610,8;612,63;610,17;28899302148,7;1849;5,38;2;8587346978100;RUB;1,000000;3
SNDX;RGBITR;2020-06-15;MOEX Government Bond Index;MOEX Government Bond Index;610,92;611,34;611,37;609,73;19406827190,6;1847;5,43;2;8563415551070;RUB;1,000000;3
SNDX;RGBITR;2020-06-11;MOEX Government Bond Index;MOEX Government Bond Index;610,91;611,23;611,33;610,12;30813419310,8;1853;5,42;2;8563313601050;RUB;1,000000;3
SNDX;RGBITR;2020-06-10;MOEX Government Bond Index;MOEX Government Bond Index;611,12;608,91;611,39;608,91;18695645538,9;1854;5,41;2;8579158766190;RUB;1,000000;3
SNDX;RGBITR;2020-06-09;MOEX Government Bond Index;MOEX Government Bond Index;608,73;609,01;609,01;606,82;29230726003,4;1850;5,49;2;8545655442240;RUB;1,000000;3
SNDX;RGBITR;2020-06-08;MOEX Government Bond Index;MOEX Government Bond Index;608,88;609,65;609,76;608,46;28238208432,2;1852;5,48;2;8547829631440;RUB;1,000000;3
SNDX;RGBITR;2020-06-05;MOEX Government Bond Index;MOEX Government Bond Index;609,27;610,42;611,22;609,01;55753345910,6;1857;5,46;2;8553335528760;RUB;1,000000;3
SNDX;RGBITR;2020-06-04;MOEX Government Bond Index;MOEX Government Bond Index;610,18;613,07;613,23;610,12;39719088133,2;1860;5,42;2;8566175493140;RUB;1,000000;3
SNDX;RGBITR;2020-06-03;MOEX Government Bond Index;MOEX Government Bond Index;612,91;613,54;613,66;612,68;29975025518,9;1865;5,33;2;8616560471110;RUB;1,000000;3
SNDX;RGBITR;2020-06-02;MOEX Government Bond Index;MOEX Government Bond Index;613,54;613,25;614,17;612,63;29129010313;1865;5,31;2;8625388831180;RUB;1,000000;3,
SNDX;RGBITR;2020-06-01;MOEX Government Bond Index;MOEX Government Bond Index;613,06;612,21;613,41;611,74;59043478607,3;1866;5,32;2;8618689624890;RUB;1,000000;3
SNDX;RGBITR;2020-05-29;MOEX Government Bond Index;MOEX Government Bond Index;611,96;611,65;612,23;611,65;38381629492,8;1905;5,36;2;8190008114530;RUB;1,000000;3
SNDX;RGBITR;2020-05-28;MOEX Government Bond Index;MOEX Government Bond Index;611,49;611,87;611,93;611,37;32512493769,5;1906;5,38;2;8183705399430;RUB;1,000000;3
SNDX;RGBITR;2020-05-27;MOEX Government Bond Index;MOEX Government Bond Index;611,92;613,38;613,56;611,85;41540221413,7;1908;5,36;2;8202155478250;RUB;1,000000;3
SNDX;RGBITR;2020-05-26;MOEX Government Bond Index;MOEX Government Bond Index;613,17;613,78;613,99;613,15;29513274813,5;1905;5,32;2;8218856299980;RUB;1,000000;3
SNDX;RGBITR;2020-05-25;MOEX Government Bond Index;MOEX Government Bond Index;613,06;613;613,77;610,82;8670753559,76;1906;5,32;2;8217414364120;RUB;1,000000;3,
SNDX;RGBITR;2020-05-22;MOEX Government Bond Index;MOEX Government Bond Index;612,68;613,66;613,67;612,64;30157665932,2;1910;5,32;2;8212337718560;RUB;1,000000;3
SNDX;RGBITR;2020-05-21;MOEX Government Bond Index;MOEX Government Bond Index;613,54;613,23;613,59;612,36;53242520384,1;1912;5,29;2;8223837865340;RUB;1,000000;3
SNDX;RGBITR;2020-05-20;MOEX Government Bond Index;MOEX Government Bond Index;613,13;612,23;613,29;611,33;93069274995,9;1912;5,3;2;8234380130710;RUB;1,000000;3
SNDX;RGBITR;2020-05-19;MOEX Government Bond Index;MOEX Government Bond Index;612,36;612,95;613,01;612,1;29295532675,6;1908;5,32;2;8224090619660;RUB;1,000000;3
SNDX;RGBITR;2020-05-18;MOEX Government Bond Index;MOEX Government Bond Index;612,79;608,55;612,93;608,55;36468126472,5;1910;5,3;2;8229844573040;RUB;1,000000;3
SNDX;RGBITR;2020-05-15;MOEX Government Bond Index;MOEX Government Bond Index;608,16;602,14;608,17;602,14;52524045181,2;1904;5,45;2;8167611663700;RUB;1,000000;3
SNDX;RGBITR;2020-05-14;MOEX Government Bond Index;MOEX Government Bond Index;602,38;601,82;602,38;601,41;80416513384,9;1895;5,64;2;8090003870170;RUB;1,000000;3
SNDX;RGBITR;2020-05-13;MOEX Government Bond Index;MOEX Government Bond Index;601,53;600,76;601,63;600,1;28393166671,7;1896;5,66;2;8078640598320;RUB;1,000000;3
SNDX;RGBITR;2020-05-12;MOEX Government Bond Index;MOEX Government Bond Index;600,63;596,74;600,64;596,74;21199843576,4;1897;5,69;2;8066536958420;RUB;1,000000;3
SNDX;RGBITR;2020-05-08;MOEX Government Bond Index;MOEX Government Bond Index;596,38;594,23;596,38;594,18;36562675107,3;1896;5,82;2;8009498967130;RUB;1,000000;3
SNDX;RGBITR;2020-05-07;MOEX Government Bond Index;MOEX Government Bond Index;594,06;594,41;594,74;594,06;26065647529,9;1896;5,9;2;7978351939570;RUB;1,000000;3
SNDX;RGBITR;2020-05-06;MOEX Government Bond Index;MOEX Government Bond Index;593,86;594,43;594,8;593,86;15454268835,8;1897;5,9;2;7975684988940;RUB;1,000000;3
SNDX;RGBITR;2020-05-05;MOEX Government Bond Index;MOEX Government Bond Index;594,52;593,75;594,52;593,48;8654414858,28;1899;5,88;2;7984560136780;RUB;1,000000;3
SNDX;RGBITR;2020-05-04;MOEX Government Bond Index;MOEX Government Bond Index;593,69;593,34;594,43;593,34;103852739,92;1900;5,9;2;7973437916870;RUB;1,000000;3
SNDX;RGBITR;2020-04-30;MOEX Government Bond Index;MOEX Government Bond Index;592,76;592,88;593,48;592,53;25310978778,3;1903;5,92;2;7960891262550;RUB;1,000000;3
SNDX;RGBITR;2020-04-29;MOEX Government Bond Index;MOEX Government Bond Index;592,68;592,84;593,26;592,66;30181307907,9;1905;5,92;2;7959787211460;RUB;1,000000;3
SNDX;RGBITR;2020-04-28;MOEX Government Bond Index;MOEX Government Bond Index;592,76;592,36;592,76;591,74;17156104652;1906;5,91;2;7960824490460;RUB;1,000000;3,
SNDX;RGBITR;2020-04-27;MOEX Government Bond Index;MOEX Government Bond Index;592,52;592,76;593,39;592,51;16315163287,4;1907;5,92;2;7957605310160;RUB;1,000000;3
SNDX;RGBITR;2020-04-24;MOEX Government Bond Index;MOEX Government Bond Index;592,33;590,23;592,33;589,99;26345063266,2;1910;5,91;2;7955100912440;RUB;1,000000;3
SNDX;RGBITR;2020-04-23;MOEX Government Bond Index;MOEX Government Bond Index;590,11;586,35;590,11;586,08;24162499773,6;1908;5,99;2;7925224459880;RUB;1,000000;3
SNDX;RGBITR;2020-04-22;MOEX Government Bond Index;MOEX Government Bond Index;586,17;583,68;586,17;583,63;25566986549;1903;6,12;2;7901820051910;RUB;1,000000;3,
SNDX;RGBITR;2020-04-21;MOEX Government Bond Index;MOEX Government Bond Index;583,55;587,23;587,42;583,54;15534765960,8;1892;6,21;2;7866440785800;RUB;1,000000;3
SNDX;RGBITR;2020-04-20;MOEX Government Bond Index;MOEX Government Bond Index;587,23;581,76;587,24;581,76;17898977240,4;1900;6,08;2;7916041218840;RUB;1,000000;3
SNDX;RGBITR;2020-04-17;MOEX Government Bond Index;MOEX Government Bond Index;581,05;573,4;581,05;573,3;48258632623,9;1893;6,28;2;7832685546050;RUB;1,000000;3
SNDX;RGBITR;2020-04-16;MOEX Government Bond Index;MOEX Government Bond Index;573,32;571,23;573,32;570,61;40686705782;1882;6,55;2;7728520442360;RUB;1,000000;3,
SNDX;RGBITR;2020-04-15;MOEX Government Bond Index;MOEX Government Bond Index;571,09;572,93;573,1;571,09;21935130544,8;1880;6,63;2;7722140484440;RUB;1,000000;3
SNDX;RGBITR;2020-04-14;MOEX Government Bond Index;MOEX Government Bond Index;572,89;572,96;573,42;572,86;32446047970,4;1879;6,56;2;7746483112340;RUB;1,000000;3
SNDX;RGBITR;2020-04-13;MOEX Government Bond Index;MOEX Government Bond Index;572,82;572,54;574,92;572,54;6792943570,41;1880;6,56;2;7745568056920;RUB;1,000000;3
SNDX;RGBITR;2020-04-10;MOEX Government Bond Index;MOEX Government Bond Index;572,2;571,76;572,68;571,76;19101060062,7;1882;6,57;2;7737248351510;RUB;1,000000;3
SNDX;RGBITR;2020-04-09;MOEX Government Bond Index;MOEX Government Bond Index;571,65;570,11;571,67;570,11;34971077584,9;1883;6,59;2;7729856598510;RUB;1,000000;3
SNDX;RGBITR;2020-04-08;MOEX Government Bond Index;MOEX Government Bond Index;570,03;570,68;570,74;569,46;6669839067,32;1881;6,64;2;7732911598680;RUB;1,000000;3
SNDX;RGBITR;2020-04-07;MOEX Government Bond Index;MOEX Government Bond Index;570,7;570;571,23;569,79;15755149273,2;1873;6,61;2;7741958673240;RUB;1,000000;3,
SNDX;RGBITR;2020-04-06;MOEX Government Bond Index;MOEX Government Bond Index;569,88;568,16;569,92;567,97;11166435898,9;1872;6,64;2;7730892569820;RUB;1,000000;3
SNDX;RGBITR;2020-04-03;MOEX Government Bond Index;MOEX Government Bond Index;567,71;566,08;567,72;566,08;18688589070,5;1873;6,71;2;7701433563880;RUB;1,000000;3
SNDX;RGBITR;2020-04-02;MOEX Government Bond Index;MOEX Government Bond Index;565,9;566,55;569,55;565,82;12921749081,5;1873;6,77;2;7676938235890;RUB;1,000000;3
SNDX;RGBITR;2020-04-01;MOEX Government Bond Index;MOEX Government Bond Index;566,38;567,6;568,76;566,15;14118853135,1;1874;6,75;2;7694066937560;RUB;1,000000;3
SNDX;RGBITR;2020-03-31;MOEX Government Bond Index;MOEX Government Bond Index;567,5;561,09;567,5;561,07;22714918949,2;1873;6,7;2;7709254290520;RUB;1,000000;3
SNDX;RGBITR;2020-03-30;MOEX Government Bond Index;MOEX Government Bond Index;561,13;562,77;562,77;558,52;14095113032,1;1863;6,93;2;7622664507330;RUB;1,000000;3
SNDX;RGBITR;2020-03-27;MOEX Government Bond Index;MOEX Government Bond Index;562,65;559,58;563,04;559,41;45556706507,4;1869;6,87;2;7643322905810;RUB;1,000000;3
SNDX;RGBITR;2020-03-26;MOEX Government Bond Index;MOEX Government Bond Index;559,13;557,03;559,19;556,04;38159069807,1;1864;6,99;2;7595566829110;RUB;1,000000;3
SNDX;RGBITR;2020-03-25;MOEX Government Bond Index;MOEX Government Bond Index;557,21;557,24;561,45;557,17;37559716685,5;1860;7,06;2;7583060765620;RUB;1,000000;3
SNDX;RGBITR;2020-03-24;MOEX Government Bond Index;MOEX Government Bond Index;557,11;543,68;557,11;543,68;50112658050,1;1859;7,06;2;7581679412870;RUB;1,000000;3
SNDX;RGBITR;2020-03-23;MOEX Government Bond Index;MOEX Government Bond Index;543,47;543,32;544,39;539,87;24306372004,6;1834;7,58;2;7396113870710;RUB;1,000000;3
SNDX;RGBITR;2020-03-20;MOEX Government Bond Index;MOEX Government Bond Index;542,73;531,53;542,73;531,53;38903239570,1;1834;7,59;2;7386056845320;RUB;1,000000;3
SNDX;RGBITR;2020-03-19;MOEX Government Bond Index;MOEX Government Bond Index;531,09;528,95;531,16;525,81;42844724292,1;1815;8,05;2;7227631275470;RUB;1,000000;3
SNDX;RGBITR;2020-03-18;MOEX Government Bond Index;MOEX Government Bond Index;528,73;534,8;535,71;528,73;69804099192,1;1813;8,14;2;7195571153420;RUB;1,000000;3
SNDX;RGBITR;2020-03-17;MOEX Government Bond Index;MOEX Government Bond Index;534,65;534,29;538,04;533,86;39831203953,4;1825;7,9;2;7276131471420;RUB;1,000000;3
SNDX;RGBITR;2020-03-16;MOEX Government Bond Index;MOEX Government Bond Index;534,22;540,83;542,61;534,2;47036981449,2;1825;7,91;2;7270295932720;RUB;1,000000;3
SNDX;RGBITR;2020-03-13;MOEX Government Bond Index;MOEX Government Bond Index;540,6;540,23;541,2;537,52;53163838792,6;1839;7,64;2;7357094932150;RUB;1,000000;3
SNDX;RGBITR;2020-03-12;MOEX Government Bond Index;MOEX Government Bond Index;540,15;557,86;557,86;540,15;53599992611,9;1839;7,66;2;7351026560520;RUB;1,000000;3
SNDX;RGBITR;2020-03-11;MOEX Government Bond Index;MOEX Government Bond Index;557,78;559,95;561,56;557,78;48067771129,1;1871;6,98;2;7590967029360;RUB;1,000000;3
SNDX;RGBITR;2020-03-10;MOEX Government Bond Index;MOEX Government Bond Index;559,42;575,44;575,44;555,26;69791440221;1878;6,92;2;7613225954090;RUB;1,000000;3,
SNDX;RGBITR;2020-03-06;MOEX Government Bond Index;MOEX Government Bond Index;576,13;586,94;586,94;576,13;42633783065,4;1908;6,3;2;7840583142670;RUB;1,000000;3
SNDX;RGBITR;2020-03-05;MOEX Government Bond Index;MOEX Government Bond Index;586,8;586,32;588,25;586,2;69109612364;1927;5,93;2;7985735304410;RUB;1,000000;3,
SNDX;RGBITR;2020-03-04;MOEX Government Bond Index;MOEX Government Bond Index;586,18;581,21;586,2;581,21;79845411635,7;1928;5,95;2;7988670737730;RUB;1,000000;3
SNDX;RGBITR;2020-03-03;MOEX Government Bond Index;MOEX Government Bond Index;580,92;576,59;580,92;576,59;46895746605,3;1918;6,13;2;7916931057460;RUB;1,000000;3
SNDX;RGBITR;2020-03-02;MOEX Government Bond Index;MOEX Government Bond Index;576,7;574,44;578,82;574,21;49792196208,9;1912;6,27;2;7859479133190;RUB;1,000000;3
SNDX;RGBITR;2020-02-28;MOEX Government Bond Index;MOEX Government Bond Index;573,25;582,29;582,35;572,44;66172896080,9;1860;6,38;2;7521727876040;RUB;1,000000;3
SNDX;RGBITR;2020-02-27;MOEX Government Bond Index;MOEX Government Bond Index;582,24;583,98;584,01;582,24;38414721381,4;1876;6,05;2;7639662649580;RUB;1,000000;3
SNDX;RGBITR;2020-02-26;MOEX Government Bond Index;MOEX Government Bond Index;583,84;585,86;585,99;583,24;37241045174,8;1879;6;2;7660655036970;RUB;1,000000;3,
SNDX;RGBITR;2020-02-25;MOEX Government Bond Index;MOEX Government Bond Index;585,76;587;587,94;585,76;22343007302,6;1886;5,92;2;7685907310310;RUB;1,000000;3,
SNDX;RGBITR;2020-02-21;MOEX Government Bond Index;MOEX Government Bond Index;586,56;587,78;588,32;585,87;27963830546,7;1891;5,88;2;7696461186510;RUB;1,000000;3
SNDX;RGBITR;2020-02-20;MOEX Government Bond Index;MOEX Government Bond Index;587,68;586,55;587,73;586,55;26886094344;1896;5,84;2;7711220440010;RUB;1,000000;3,
SNDX;RGBITR;2020-02-19;MOEX Government Bond Index;MOEX Government Bond Index;586,43;585,4;586,43;585,4;29098948306,2;1894;5,88;2;7714736493390;RUB;1,000000;3
SNDX;RGBITR;2020-02-18;MOEX Government Bond Index;MOEX Government Bond Index;585,28;585,5;586,48;584,85;16211094211,1;1891;5,92;2;7699607095240;RUB;1,000000;3
SNDX;RGBITR;2020-02-17;MOEX Government Bond Index;MOEX Government Bond Index;585,36;585,58;585,93;585,33;18417211170,7;1892;5,91;2;7700670854260;RUB;1,000000;3
SNDX;RGBITR;2020-02-14;MOEX Government Bond Index;MOEX Government Bond Index;584,69;583,82;584,71;583,76;38016149697,1;1894;5,93;2;7691877380070;RUB;1,000000;3